no_langganan,nama_pelanggan,alamat,no_telp,status,golongan,stand_awal,stand_akhir,pemakaian,tagihan,bulan
3990015,Putri Utama,Karang Kimpul 11 Rt4/8,3644447,T,RT 4,5477,5486,9,47151,Oktober 2025
3990015,Putri Utama,Karang Kimpul 11 Rt4/8,3651820,Y,RT 4,5486,5497,11,59664,November 2025
3990015,Putri Utama,Karang Kimpul 11 Rt4/8,3498929,T,RT 4,5497,5506,9,44001,Desember 2025
3990015,Putri Utama,Karang Kimpul 11 Rt4/8,3578007,Y,RT 4,5506,5516,10,45090,Januari 2026
3990015,Putri Utama,Karang Kimpul 11 Rt4/8,3268964,T,RT 4,5516,5526,10,53760,Februari 2026
3990016,Budi Sari,Kedondong 18 Rt7/1,3205570,T,RT 4,4925,4943,18,119736,September 2025
3990016,Budi Sari,Kedondong 18 Rt7/1,3803286,Y,RT 4,4943,4962,19,93176,Oktober 2025
3990016,Budi Sari,Kedondong 18 Rt7/1,3263273,T,RT 4,4962,4981,19,99047,November 2025
3990016,Budi Sari,Kedondong 18 Rt7/1,3931538,T,RT 4,4981,5000,19,121619,Desember 2025
3990016,Budi Sari,Kedondong 18 Rt7/1,3994751,T,RT 4,5000,5019,19,94753,Januari 2026
3990016,Budi Sari,Kedondong 18 Rt7/1,3238311,T,RT 4,5019,5037,18,119556,Februari 2026
3990017,Eka Rahayu,Rogojembangan 3 Rt3/2,3926196,T,Niaga 1,9580,9614,34,195568,September 2025
3990017,Eka Rahayu,Rogojembangan 3 Rt3/2,3415826,Y,Niaga 1,9614,9654,40,264880,Oktober 2025
3990017,Eka Rahayu,Rogojembangan 3 Rt3/2,3417537,T,Niaga 1,9654,9697,43,250647,November 2025
3990017,Eka Rahayu,Rogojembangan 3 Rt3/2,3880722,Y,Niaga 1,9697,9739,42,246036,Desember 2025
3990017,Eka Rahayu,Rogojembangan 3 Rt3/2,3807689,Y,Niaga 1,9739,9743,4,21032,Januari 2026
3990017,Eka Rahayu,Rogojembangan 3 Rt3/2,3465340,T,Niaga 1,9743,9779,36,240480,Februari 2026
3990018,Yuni Santoso,Medoho 17 Rt4/4,3761614,T,RT 4,6569,6589,20,128120,September 2025
3990018,Yuni Santoso,Medoho 17 Rt4/4,3761450,T,RT 4,6589,6612,23,152766,Oktober 2025
3990018,Yuni Santoso,Medoho 17 Rt4/4,3272312,Y,RT 4,6612,6632,20,124380,November 2025
3990018,Yuni Santoso,Medoho 17 Rt4/4,3431868,Y,RT 4,6632,6654,22,113652,Desember 2025
3990018,Yuni Santoso,Medoho 17 Rt4/4,3580721,T,RT 4,6654,6674,20,110560,Januari 2026
3990018,Yuni Santoso,Medoho 17 Rt4/4,3664037,T,RT 4,6674,6696,22,130416,Februari 2026
3990019,Doni Setiawan,Medoho 14 Rt2/1,3283868,T,RT 4,8240,8256,16,72752,September 2025
3990019,Doni Setiawan,Medoho 14 Rt2/1,3290471,T,RT 4,8256,8274,18,104040,Oktober 2025
3990019,Doni Setiawan,Medoho 14 Rt2/1,3735605,T,RT 4,8274,8291,17,87346,November 2025
3990019,Doni Setiawan,Medoho 14 Rt2/1,3173686,T,RT 4,8291,8308,17,76959,Desember 2025
3990019,Doni Setiawan,Medoho 14 Rt2/1,3904462,T,RT 4,8308,8356,48,265248,Januari 2026
3990019,Doni Setiawan,Medoho 14 Rt2/1,3662926,T,RT 4,8356,8374,18,124380,Februari 2026
3990020,Siti Nugroho,Rogojembangan 3 Rt3/9,3728880,T,RT 5,2062,2082,20,100720,September 2025
3990020,Siti Nugroho,Rogojembangan 3 Rt3/9,3732387,T,RT 5,2082,2101,19,124868,Oktober 2025
3990020,Siti Nugroho,Rogojembangan 3 Rt3/9,3126069,T,RT 5,2101,2121,20,135500,November 2025
3990020,Siti Nugroho,Rogojembangan 3 Rt3/9,3291076,T,RT 5,2121,2145,24,167328,Desember 2025
3990020,Siti Nugroho,Rogojembangan 3 Rt3/9,3962522,Y,RT 5,2145,2167,22,142450,Januari 2026
3990020,Siti Nugroho,Rogojembangan 3 Rt3/9,3216421,T,RT 5,2167,2190,23,133676,Februari 2026
3990021,Putri Kusuma,Purwosari 9 Rt7/3,3862501,Y,RT 4,6342,6357,15,95550,September 2025
3990021,Putri Kusuma,Purwosari 9 Rt7/3,3899666,T,RT 4,6357,6371,14,85806,Oktober 2025
3990021,Putri Kusuma,Purwosari 9 Rt7/3,3974668,T,RT 4,6371,6385,14,83412,November 2025
3990021,Putri Kusuma,Purwosari 9 Rt7/3,3928533,T,RT 4,6385,6400,15,103095,Desember 2025
3990021,Putri Kusuma,Purwosari 9 Rt7/3,3489678,T,RT 4,6400,6414,14,93618,Januari 2026
3990021,Putri Kusuma,Purwosari 9 Rt7/3,3341983,T,RT 4,6414,6427,13,66989,Februari 2026
3990022,Maya Susanto,Bayem 13 Rt3/3,3357665,T,RT 3,1009,1017,8,45528,September 2025
3990022,Maya Susanto,Bayem 13 Rt3/3,3556292,T,RT 3,1017,1026,9,52578,Oktober 2025
3990022,Maya Susanto,Bayem 13 Rt3/3,3529474,T,RT 3,1026,1034,8,52304,November 2025
3990022,Maya Susanto,Bayem 13 Rt3/3,3327645,T,RT 3,1034,1042,8,48832,Desember 2025
3990022,Maya Susanto,Bayem 13 Rt3/3,3820801,T,RT 3,1042,1051,9,50940,Januari 2026
3990022,Maya Susanto,Bayem 13 Rt3/3,3872608,T,RT 3,1051,1059,8,48560,Februari 2026
3990023,Rina Setiawan,Purwosari 11 Rt1/5,3248056,Y,RT 4,5820,5831,11,50941,September 2025
3990023,Rina Setiawan,Purwosari 11 Rt1/5,3618545,T,RT 4,5831,5840,9,59724,Oktober 2025
3990023,Rina Setiawan,Purwosari 11 Rt1/5,3318134,T,RT 4,5840,5849,9,62721,November 2025
3990023,Rina Setiawan,Purwosari 11 Rt1/5,3250168,T,RT 4,5849,5859,10,54920,Desember 2025
3990023,Rina Setiawan,Purwosari 11 Rt1/5,3192263,T,RT 4,5859,5870,11,58520,Januari 2026
3990023,Rina Setiawan,Purwosari 11 Rt1/5,3665445,Y,RT 4,5870,5879,9,58230,Februari 2026
3990024,Hendra Wijaya,Purwosari 10 Rt4/1,3364480,T,RT 4,1419,1441,22,119900,September 2025
3990024,Hendra Wijaya,Purwosari 10 Rt4/1,3132265,T,RT 4,1441,1463,22,139854,Oktober 2025
3990024,Hendra Wijaya,Purwosari 10 Rt4/1,3254782,T,RT 4,1463,1483,20,128640,November 2025
3990024,Hendra Wijaya,Purwosari 10 Rt4/1,3302967,T,RT 4,1483,1504,21,134400,Desember 2025
3990024,Hendra Wijaya,Purwosari 10 Rt4/1,3184291,T,RT 4,1504,1529,25,164850,Januari 2026
3990024,Hendra Wijaya,Purwosari 10 Rt4/1,3247550,T,RT 4,1529,1550,21,97209,Februari 2026
3990025,Dewi Kusuma,Medoho 11 Rt3/5,3770688,T,Niaga 1,7166,7225,59,323556,September 2025
3990025,Dewi Kusuma,Medoho 11 Rt3/5,3913738,Y,Niaga 1,7225,7294,69,367563,Oktober 2025
3990025,Dewi Kusuma,Medoho 11 Rt3/5,3100126,T,Niaga 1,7294,7360,66,419958,November 2025
3990025,Dewi Kusuma,Medoho 11 Rt3/5,3820670,T,Niaga 1,7360,7421,61,311283,Desember 2025
3990025,Dewi Kusuma,Medoho 11 Rt3/5,3134560,T,Niaga 1,7421,7486,65,385450,Januari 2026
3990025,Dewi Kusuma,Medoho 11 Rt3/5,3278595,T,Niaga 1,7486,7542,56,344120,Februari 2026
3990026,Doni Santoso,Rogojembangan 19 Rt7/5,3566725,T,RT 4,9393,9413,20,132440,September 2025
3990026,Doni Santoso,Rogojembangan 19 Rt7/5,3944193,Y,RT 4,9413,9428,15,74610,Oktober 2025
3990026,Doni Santoso,Rogojembangan 19 Rt7/5,3871253,T,RT 4,9428,9446,18,94716,November 2025
3990026,Doni Santoso,Rogojembangan 19 Rt7/5,3906388,Y,RT 4,9446,9465,19,123310,Desember 2025
3990026,Doni Santoso,Rogojembangan 19 Rt7/5,3643385,T,RT 4,9465,9485,20,103220,Januari 2026
3990026,Doni Santoso,Rogojembangan 19 Rt7/5,3258768,T,RT 4,9485,9501,16,95872,Februari 2026
3990027,Dewi Lestari,Kedondong 8 Rt1/7,3841804,T,RT 4,3482,3491,9,61488,September 2025
3990027,Dewi Lestari,Kedondong 8 Rt1/7,3526752,T,RT 4,3491,3500,9,59085,Oktober 2025
3990027,Dewi Lestari,Kedondong 8 Rt1/7,3662288,T,RT 4,3500,3510,10,54870,November 2025
3990027,Dewi Lestari,Kedondong 8 Rt1/7,3951587,T,RT 4,3510,3517,7,43407,Desember 2025
3990027,Dewi Lestari,Kedondong 8 Rt1/7,3283675,T,RT 4,3517,3525,8,51208,Januari 2026
3990027,Dewi Lestari,Kedondong 8 Rt1/7,3730235,T,RT 4,3525,3533,8,36432,Februari 2026
3990028,Hendra Hidayat,Kedondong 3 Rt7/8,3973559,T,RT 3,7722,7737,15,99645,September 2025
3990028,Hendra Hidayat,Kedondong 3 Rt7/8,3416915,T,RT 3,7737,7750,13,64363,Oktober 2025
3990028,Hendra Hidayat,Kedondong 3 Rt7/8,3147057,T,RT 3,7750,7762,12,65316,November 2025
3990028,Hendra Hidayat,Kedondong 3 Rt7/8,3378176,T,RT 3,7762,7774,12,63288,Desember 2025
3990028,Hendra Hidayat,Kedondong 3 Rt7/8,3360910,T,RT 3,7774,7785,11,55143,Januari 2026
3990028,Hendra Hidayat,Kedondong 3 Rt7/8,3770718,T,RT 3,7785,7800,15,78675,Februari 2026
3990029,Hendra Utama,Bayem 5 Rt5/6,3190093,T,Niaga 1,8083,8118,35,231210,September 2025
3990029,Hendra Utama,Bayem 5 Rt5/6,3807280,T,Niaga 1,8118,8150,32,167520,Oktober 2025
3990029,Hendra Utama,Bayem 5 Rt5/6,3986040,T,Niaga 1,8150,8189,39,184704,November 2025
3990029,Hendra Utama,Bayem 5 Rt5/6,3248757,T,Niaga 1,8189,8224,35,219835,Desember 2025
3990029,Hendra Utama,Bayem 5 Rt5/6,3444138,T,Niaga 1,8224,8259,35,185640,Januari 2026
3990029,Hendra Utama,Bayem 5 Rt5/6,3423412,T,Niaga 1,8259,8294,35,233625,Februari 2026
3990030,Doni Sari,Salak 17 Rt5/9,3672212,T,RT 4,9041,9058,17,106624,September 2025
3990030,Doni Sari,Salak 17 Rt5/9,3397881,T,RT 4,9058,9077,19,117952,Oktober 2025
3990030,Doni Sari,Salak 17 Rt5/9,3201371,Y,RT 4,9077,9095,18,83322,November 2025
3990030,Doni Sari,Salak 17 Rt5/9,3635843,T,RT 4,9095,9115,20,103840,Desember 2025
3990030,Doni Sari,Salak 17 Rt5/9,3111046,T,RT 4,9115,9134,19,89034,Januari 2026
3990030,Doni Sari,Salak 17 Rt5/9,3745188,T,RT 4,9134,9136,2,10514,Februari 2026
3990031,Eka Kusuma,Bayem 19 Rt3/4,3793264,T,RT 3,7122,7132,10,68430,September 2025
3990031,Eka Kusuma,Bayem 19 Rt3/4,3830026,T,RT 3,7132,7142,10,45600,Oktober 2025
3990031,Eka Kusuma,Bayem 19 Rt3/4,3710411,T,RT 3,7142,7151,9,51768,November 2025
3990031,Eka Kusuma,Bayem 19 Rt3/4,3713217,T,RT 3,7151,7161,10,46010,Desember 2025
3990031,Eka Kusuma,Bayem 19 Rt3/4,3280553,T,RT 3,7161,7172,11,60940,Januari 2026
3990031,Eka Kusuma,Bayem 19 Rt3/4,3419278,T,RT 3,7172,7182,10,60200,Februari 2026
3990032,Putri Hidayat,Cerme 8 Rt7/5,3616142,T,RT 5,8119,8156,37,184556,September 2025
3990032,Putri Hidayat,Cerme 8 Rt7/5,3956774,Y,RT 5,8156,8188,32,177248,Oktober 2025
3990032,Putri Hidayat,Cerme 8 Rt7/5,3144813,T,RT 5,8188,8222,34,166260,November 2025
3990032,Putri Hidayat,Cerme 8 Rt7/5,3442703,T,RT 5,8222,8265,43,199348,Desember 2025
3990032,Putri Hidayat,Cerme 8 Rt7/5,3938003,T,RT 5,8265,8305,40,219560,Januari 2026
3990032,Putri Hidayat,Cerme 8 Rt7/5,3349321,T,RT 5,8305,8341,36,176436,Februari 2026
3990033,Maya Hidayat,Cerme 12 Rt4/2,3246389,T,Niaga 2,5278,5368,90,528480,September 2025
3990033,Maya Hidayat,Cerme 12 Rt4/2,3354444,T,Niaga 2,5368,5452,84,379260,Oktober 2025
3990033,Maya Hidayat,Cerme 12 Rt4/2,3955778,T,Niaga 2,5452,5535,83,508873,November 2025
3990033,Maya Hidayat,Cerme 12 Rt4/2,3640659,T,Niaga 2,5535,5624,89,472857,Desember 2025
3990033,Maya Hidayat,Cerme 12 Rt4/2,3945038,T,Niaga 2,5624,5721,97,608287,Januari 2026
3990033,Maya Hidayat,Cerme 12 Rt4/2,3911006,T,Niaga 2,5721,5800,79,428180,Februari 2026
3990034,Agus Santoso,Kedondong 3 Rt5/8,3601946,Y,RT 4,5388,5399,11,60093,September 2025
3990034,Agus Santoso,Kedondong 3 Rt5/8,3931460,T,RT 4,5399,5410,11,72688,Oktober 2025
3990034,Agus Santoso,Kedondong 3 Rt5/8,3599722,Y,RT 4,5410,5423,13,75725,November 2025
3990034,Agus Santoso,Kedondong 3 Rt5/8,3279352,T,RT 4,5423,5435,12,81276,Desember 2025
3990034,Agus Santoso,Kedondong 3 Rt5/8,3963561,T,RT 4,5435,5436,1,5889,Januari 2026
3990034,Agus Santoso,Kedondong 3 Rt5/8,3216953,T,RT 4,5436,5448,12,63888,Februari 2026
3990035,Eka Wijaya,Purwosari 6 Rt5/5,3474999,Y,RT 4,2913,2924,11,58839,September 2025
3990035,Eka Wijaya,Purwosari 6 Rt5/5,3893719,T,RT 4,2924,2934,10,52800,Oktober 2025
3990035,Eka Wijaya,Purwosari 6 Rt5/5,3143642,T,RT 4,2934,2945,11,59961,November 2025
3990035,Eka Wijaya,Purwosari 6 Rt5/5,3465464,Y,RT 4,2945,2957,12,68616,Desember 2025
3990035,Eka Wijaya,Purwosari 6 Rt5/5,3426916,T,RT 4,2957,2968,11,66660,Januari 2026
3990035,Eka Wijaya,Purwosari 6 Rt5/5,3992027,T,RT 4,2968,2979,11,60313,Februari 2026
3990036,Yuni Susanto,Lamper 16 Rt2/2,3228322,T,RT 3,4020,4027,7,46634,September 2025
3990036,Yuni Susanto,Lamper 16 Rt2/2,3433863,T,RT 3,4027,4035,8,51112,Oktober 2025
3990036,Yuni Susanto,Lamper 16 Rt2/2,3119623,T,RT 3,4035,4042,7,48181,November 2025
3990036,Yuni Susanto,Lamper 16 Rt2/2,3205228,T,RT 3,4042,4049,7,43428,Desember 2025
3990036,Yuni Susanto,Lamper 16 Rt2/2,3169274,T,RT 3,4049,4057,8,37520,Januari 2026
3990036,Yuni Susanto,Lamper 16 Rt2/2,3294692,Y,RT 3,4057,4065,8,52432,Februari 2026
3990037,Eka Lestari,Cerme 10 Rt2/5,3842623,T,RT 5,3403,3422,19,123215,September 2025
3990037,Eka Lestari,Cerme 10 Rt2/5,3228232,T,RT 5,3422,3443,21,129990,Oktober 2025
3990037,Eka Lestari,Cerme 10 Rt2/5,3358722,T,RT 5,3443,3464,21,145152,November 2025
3990037,Eka Lestari,Cerme 10 Rt2/5,3603238,T,RT 5,3464,3482,18,125298,Desember 2025
3990037,Eka Lestari,Cerme 10 Rt2/5,3331758,Y,RT 5,3482,3502,20,101420,Januari 2026
3990037,Eka Lestari,Cerme 10 Rt2/5,3827955,T,RT 5,3502,3522,20,109760,Februari 2026
3990038,Siti Kusuma,Kedondong 12 Rt6/1,3973698,T,RT 4,5569,5581,12,63144,September 2025
3990038,Siti Kusuma,Kedondong 12 Rt6/1,3943804,T,RT 4,5581,5596,15,82950,Oktober 2025
3990038,Siti Kusuma,Kedondong 12 Rt6/1,3244097,Y,RT 4,5596,5598,2,11906,November 2025
3990038,Siti Kusuma,Kedondong 12 Rt6/1,3713474,T,RT 4,5598,5609,11,71500,Desember 2025
3990038,Siti Kusuma,Kedondong 12 Rt6/1,3440941,T,RT 4,5609,5610,1,6210,Januari 2026
3990038,Siti Kusuma,Kedondong 12 Rt6/1,3677218,Y,RT 4,5610,5622,12,72744,Februari 2026
3990039,Lina Hidayat,Lamper 15 Rt5/4,3803650,T,RT 4,6626,6638,12,77760,September 2025
3990039,Lina Hidayat,Lamper 15 Rt5/4,3444855,T,RT 4,6638,6650,12,63504,Oktober 2025
3990039,Lina Hidayat,Lamper 15 Rt5/4,3383707,T,RT 4,6650,6662,12,73284,November 2025
3990039,Lina Hidayat,Lamper 15 Rt5/4,3529660,T,RT 4,6662,6675,13,80340,Desember 2025
3990039,Lina Hidayat,Lamper 15 Rt5/4,3270182,T,RT 4,6675,6687,12,78420,Januari 2026
3990039,Lina Hidayat,Lamper 15 Rt5/4,3338260,Y,RT 4,6687,6699,12,65508,Februari 2026
3990040,Eka Wijaya,Bayem 14 Rt7/9,3935700,T,RT 3,2875,2886,11,60643,September 2025
3990040,Eka Wijaya,Bayem 14 Rt7/9,3354346,Y,RT 3,2886,2896,10,50830,Oktober 2025
3990040,Eka Wijaya,Bayem 14 Rt7/9,3785375,T,RT 3,2896,2907,11,71643,November 2025
3990040,Eka Wijaya,Bayem 14 Rt7/9,3993093,T,RT 3,2907,2917,10,51060,Desember 2025
3990040,Eka Wijaya,Bayem 14 Rt7/9,3545864,T,RT 3,2917,2929,12,55212,Januari 2026
